name,B,M,K,N,Transposed,
addmm,1,256,512,197951,True,
mm,1,256,1024,128112,True,
bmm,1024,64,50,64,False,
mm,1,1280,6272,256,False,
addmm,1,16448,512,2048,True,
mm,1,480,4096,240,False,
bmm,2048,49,32,49,True,
mm,1,16448,2048,512,False,
mm,1,7936,512,2048,False,
mm,1,128,25664,128,False,
addmm,1,61568,256,1024,True,
addmm,1,8192,768,30522,True,
mm,1,64,512,256,False,
mm,1,8192,50265,512,False,
mm,1,4096,768,2,True,
mm,1,64,1000,2048,False,
addmm,1,2040,512,512,True,
mm,1,240,4096,240,False,
mm,1,128,100480,1024,False,
bmm,1024,197,40,40,False,
mm,1,128,1000,1024,False,
mm,1,2,3072,768,False,
mm,1,64,128,256,False,
addmm,1,16384,192,576,True,
addmm,1,128,2048,2048,True,
mm,1,1152,64,384,False,
mm,1,6272,2048,512,True,
bmm,1536,16,16,16,True,
mm,1,6272,512,256,False,
mm,1,24,200704,24,False,
addmm,1,16448,512,512,True,
bmm,48,512,512,64,False,
bmm,768,197,64,197,True,
bmm,1536,16,16,32,False,
mm,1,2048,50005,768,False,
addmm,1,12544,384,1536,True,
mm,1,1000,64,768,False,
addmm,1,128,768,1000,True,
bmm,16384,49,49,32,True,
bmm,1024,49,49,32,False,
bmm,64,128,128,32,False,
mm,1,663552,16,16,False,
mm,1,12544,512,2048,True,
bmm,256,32,401,401,False,
addmm,1,32,2048,1000,True,
bmm,96,64,128,128,False,
mm,1,61568,1024,256,False,
mm,1,16,768,768,False,
mm,1,1000,32,1280,False,
mm,1,256,2048,256,False,
bmm,256,49,49,64,False,
mm,1,384,64,384,False,
bmm,256,962,64,962,False,
bmm,64,512,1024,64,False,
bmm,24,64,768,64,False,
mm,1,192,50176,192,False,
mm,1,8192,768,768,False,
addmm,1,64,256,1000,True,
bmm,1024,256,36,256,True,
mm,1,6400,512,2048,False,
addmm,1,512,3072,768,False,
mm,1,768,2048,768,False,
mm,1,1000,64,1024,False,
mm,1,1000,96,1280,False,
bmm,1024,49,32,49,True,
mm,1,768,512,768,False,
mm,1,2048,512,30522,False,
bmm,256,197,64,197,False,
mm,1,64,1000,4096,False,
bmm,768,64,128,128,False,
mm,1,1500,1024,1500,False,
mm,1,200704,128,128,False,
mm,1,1000,32,2240,False,
addmm,1,1024,768,50358,True,
