name,grid,block_m,block_n,block_k,group_m,num_stages,num_warps,EVEN_K,ALLOW_TF32,USE_FAST_ACCUM,ACC_TYPE
triton_mm,1,32,32,16,8,1,2,False,False,False,"tl.float16"
triton_mm,1,32,64,32,8,5,8,False,False,False,"tl.float16"
triton_mm,1,32,32,128,8,2,4,False,False,False,"tl.float16"
triton_mm,1,64,32,32,8,5,8,False,False,False,"tl.float16"
triton_mm,1,64,32,128,8,5,4,False,False,False,"tl.float16"
triton_mm,1,64,64,16,8,2,4,False,False,False,"tl.float16"
triton_mm,1,64,64,32,8,2,4,False,False,False,"tl.float16"
triton_mm,1,64,64,64,8,3,8,False,False,False,"tl.float16"
triton_mm,1,64,64,128,8,5,4,False,False,False,"tl.float16"
triton_mm,1,64,128,32,8,3,4,False,False,False,"tl.float16"
triton_mm,1,64,128,32,8,4,8,False,False,False,"tl.float16"
triton_mm,1,64,128,64,8,3,4,False,False,False,"tl.float16"
triton_mm,1,64,128,128,8,4,4,False,False,False,"tl.float16"
triton_mm,1,128,64,32,8,3,4,False,False,False,"tl.float16"
triton_mm,1,128,64,32,8,4,8,False,False,False,"tl.float16"
triton_mm,1,128,128,32,8,2,8,False,False,False,"tl.float16"
triton_mm,1,128,128,32,8,3,4,False,False,False,"tl.float16"
triton_mm,1,128,128,64,8,3,4,False,False,False,"tl.float16"
triton_mm,1,128,128,64,8,5,8,False,False,False,"tl.float16"
